subject	pid	epochs	supported_boundaries	cache_status	cache_bytes	cache_sha256
sub-3	1	997	990	created	532345	90b657ee5af7a4990ff2ed10c2b7a5a2eae9dbb258bc36cfc1b234a372c7a54f
sub-8	6	409	402	created	219509	04b870fee92288bbbf954fa8cae7b9497a3701b57c57a7b377d6d63b2c9a3df2
sub-10	91	993	986	created	530085	147a3d4cffe2464d0a0107c1a762ec4ba9bb5ebf15c93d3e8c9f6c771a43e860
sub-11	8	984	970	created	510520	b3f7a49eb6a1d4a702a90dd1111ae377b2f72096070c3c1b9b6acef0d8345700
sub-12	92	1006	992	created	534954	66fb7e9fbdd07b7947dd4559be22efd92759ee6f11fd88e30c3c45fc37d6b7b1
sub-13	91	997	990	created	246005	081e7a6d0cc77b4dda86819ba698da6582016b86a4396de0559003430b5a8ace
sub-14	9	1068	1047	created	572857	3aef58760edb60e938440d135d8bf5831f1818403824ab19593eb743cf258320
sub-15	10	1093	1079	created	588097	abafe9cf244092da32d00bf8ad48c4c1c4cd790a40db8a02e249ef476539dd10
sub-16	11	1023	1009	created	550837	854caf722c3fcaf4279e488822bca5979f4f0360c2c65a889329bfb2377d58f2
sub-17	92	981	967	created	523180	5ead572b0359b710850870d7c13a15179575e49d38064138b064c83d735a79ee
sub-19	93	1012	1005	created	546626	96c4f12a98a12127dfe3687494c3e133bc35600b4ed249909b95f634ddee248c
sub-20	13	1048	1041	created	555683	fa97af0b187a0693849a2e572c20838fb7f622c878cdb8dd1923dcffc25f7eb2
sub-21	93	1043	1036	created	564688	31022f4a09d1f2dcd99d35675321f54adb5339b2fa053d7132cf24b81d1bd25d
sub-22	14	1034	1027	created	554029	1fa57b44e4ff8255a31da19436d0112e66bab60538051fda05ebd84641b6dbe8
sub-24	16	933	926	created	472807	78409af24c5670f9959595dd4f93cfc14be588aa5e44ad33bc52633acb1d306d
sub-27	19	952	945	created	507135	948eda74a6fc99cc131bb0ec32041b9c1f4e169e4bff91e9e2d6382723b44dd0
sub-28	20	859	852	created	451427	839b2fec6b0f2368aaf13d3df1f1f356f7ab010bdbbfc8e8b19e747714e56b8c
sub-29	21	1108	1101	created	597438	4ce2ff33f8bc458083787fc3c6abb397b2546e9b5ea8c29ab21b0dbdc2ce3bd7
sub-30	94	834	827	created	448732	6b87c41488c5b7f9359539479d9a141749ba300c2c1410758b5ef7c4be73e07a
sub-31	95	850	843	created	455117	c228c3e48433c1ab0bdb2390ab8ccb4b26b9e85dfaee6dabb22b5b76177b2e54
sub-33	84	876	869	created	465416	9892bed4bf3ad97dd0af8cf4ba53ccef37292715ebb30c5a7483c22722e409ca
sub-36	84	895	888	created	472751	0908c586e1788d61258c512d40363283ae549c95e33d317a53944f26add3731a
sub-38	87	851	844	created	449022	02d9ad28e4d42c696236d233c8a5798f1afe4c8cb2a3a4b2c2f820b8cdcbb746
sub-39	85	900	886	created	483772	e1690357a2b0f59394a4bb9c77cba44103f9f96325b6c1ca5d3bc93554e55770
sub-42	84	894	887	created	476673	5bb8306c57adf47ef1a97feabd13cdb69f0ad5bafdb6da0c25e62ba3dc6c2517
sub-43	87	825	811	created	441230	8705412ecb1a92aad2852800439931931d39b655da84f3bd405ec2915a884942
sub-45	24	820	806	created	440473	4514667189283773231db9534aa2214eda5a3cb00e53767e8bc3d5e63ecbccb7
sub-47	87	799	785	created	426855	8dc1579cca234fac50b577a3c258bf81cbb38fc6950b82119cf2671b9647a4cc
sub-49	29	902	895	created	471030	72610662700b4d390934ebc53c5e2bdc16a3abe08fa380e298b7eac4907a6473
sub-52	31	923	916	created	493652	2a3561ef3ac95b55815d256095f79cc2afe39c5c13bd2d5ce78592ebc39c43d3
sub-56	78	958	951	created	519323	e120bd47e3fcc953573210edf36fbd3d234cff6937d27af61d31e790a3376965
sub-58	78	1005	998	created	544279	156e8a6323082379a02f2ebfedf26602c61988ba3316193d6d5598b166a08712
sub-59	79	1035	1021	created	524517	1c6b6a6be91b2d2486a26cbf4683b62d54665e0fd66b7d6e6b016d336d4e6931
sub-60	80	871	857	created	466979	0b302948cdba9220915e8acee8755e29c9b7ba3f8d459c73b6b0a31496096c5e
sub-61	79	948	941	created	506767	fb13d314c2a06b6b2c71d2c1c5ee2025e0216ba373275658419a1b02b0ca25a6
sub-62	80	983	976	created	515808	20c413d0d97149b741ba37cbf9c1db66728d34f4d3e097c31dc1debeda00b156
sub-63	81	884	870	created	473996	e81b138a036ad737cab62a1ecd9eeb13287a0d9cdd4dfb2e1a563a537e251198
sub-64	82	880	866	created	471884	9b8717b9195401f8431872b29e8443bd8b149fcbc2d556babd1f49c994a6e766
sub-65	81	897	890	created	479887	969507b72c349e57252a5cd1d5630f9d9ba6e6f8e16646dcdab5f9a5de0f1d2e
sub-66	82	1076	1062	created	560457	561348662ad52263cbf2b3e07e3ed6244239a7d73a6cccbe8c41b46acd0a3e7f
sub-67	32	924	917	created	487946	84b17adcff9efa2e5f4300ec0feb37c114ecc180e6d6b3425cbcc63bd2fa4b76
sub-68	33	859	845	created	462351	97a008bb0c07f3251f083500a56258dce0f93faf938b7b231e899731583ee4a7
sub-69	34	1003	996	created	537720	97480039bb585170e444c009ee97fbae95bd84a05b8d41a2c62612f1d04aa5ad
sub-70	35	881	867	created	471039	bf6087518934dd1ed23a98160531372432091ff0900ae8954d47824840e69afb
sub-71	36	1114	1107	created	557472	04a06cf4b5566ee90f0351aff7e8948a8d628753ed106a81b88c79ec001ba8f4
sub-73	38	837	823	created	450022	63ded3b3455feb066a6a7b33bee1c001aa08cc7cda7e490e894fed204a34b67f
sub-74	39	969	962	created	518474	c38baf3a0e10df5616e461dc3a80582cb9d9e904a48efac8ffef0fa5ce0d9778
sub-77	42	1078	1071	created	492289	16bb4384d273dad706257c821798550a4a25188522c1ae0b7d3148f75e618fe1
sub-78	43	880	873	created	472860	2e12adc13d92008216d84ceda01a4b085f750dcafb86fdf0ae96c406337746ad
sub-80	45	820	813	created	440352	244f7f20633f9f65d009512c15b2a30e8e8ed445f18881cc54a890543ff590fb
sub-81	46	905	898	created	486837	05e91101e40d73f2629d0ee8031d1edab673ca7cec02173c4aebed7c7e8c33a9
sub-83	50	899	885	created	482227	49098b3bc2e2cc1a9eb6115ac325164b9e3d73534aae23dca5731360a2818a84
sub-84	51	1017	1010	created	508133	03792ac23456a656ff91194720a77c96df74098ad0d39e2f476018afa450da3d
sub-86	53	944	937	created	505102	2946827a472008de13265bfac47de67617f59597c16f0e1d4b83f898a15a496f
sub-87	54	957	950	created	503749	937abfa7a135f3de78fdea8b566e87f12bf41a368bb9d0ca931297e72e03a038
sub-91	58	1021	1014	created	547197	5abf89ad1f1ce6784d586a80fec0b899d42e5b6cda03a98e67af824900cab458
sub-92	59	988	981	created	530655	cdbb5066b3eaf4a0948f55d80bcbb7ca3f98b18f94ba6bed954eafba7a134ee5
sub-93	60	878	871	created	473058	e7c0996f0a9aa69b1d6ebade1b3ff01f9b12a8cada8c48bf6bf301d10c71c7fb
sub-94	61	1005	998	created	528068	1cda63a09f47210cae44062b492c3748c9558cd0060709721200184695c55b3d
sub-95	62	983	976	created	531225	8dae5253cc565770e2f6fca58540a0c69ecf159c78fb6f8aa89d93a27814d2f8
sub-96	63	971	964	created	486897	3d3782f048866e0a2f2afea5db9454150a1f95b40c68633ef1ee2f89d7f247bf
sub-98	65	901	894	created	483507	48142bbb3d64b85e3a88fe3ce13911b8ac2e3a1aecd6d19e6d5a42934e84325d
sub-99	66	1059	1045	created	555847	606314769d1ed5f3bd94efd1f01748ca38d27c632c0d65d65cdbc186a293640e
sub-100	67	996	989	created	533709	7e96f3fcb371b2edd80797c7a42a108208423fdb55f162e77dc268184ba30cdb
sub-101	68	935	928	created	502510	9342e1f2fd52c1d7ba75aeb1a304fb538015a92b866b449402ae274bdcff936e
sub-103	71	858	851	created	463951	32e87cc069325df80c2f6fab61f2e33bd94ab98eb31fcd3b3afd0188bc08cff9
sub-104	72	839	832	created	453191	418615107a5e43f98d312cfce55fa57d8f64ef1b94339a5afd007352e5b7a3bf
sub-107	75	952	945	created	513879	2e00bff5999648611b3eda335a30803f78dc5439b673aaa6e2f391380e74108e
sub-108	76	995	967	created	538010	4de28e89ec4fbd44fd9e8ed91a64c5613072411392522e9a5b21ebf2c4aa8a3f
sub-109	96	843	836	created	454952	526fb140a803e3b6b55ba3d752164d3383513b2a2b3afc02beb1eb3e63c57bf1
sub-110	96	953	946	created	514761	1ef45698af2095319f076887215b49e345b1570230f481d8cfd0e67e217a408d
sub-111	96	961	954	created	518669	f04edc7bf88969abc6e5eb95b4ab4772172bc6b1c1b707a4461c6b22cace05fc
sub-115	98	852	838	created	458118	67ca8fd219e93751ab1ac128300295d79bc2676eca08391e70506218beaa6e35
sub-116	98	864	850	created	464751	66d77af8ed5edd1a4bdd2fb368f7d95a2bc7ffb3c8423bdc7e4604d6b1daee7e
sub-117	98	793	786	created	425944	1db1b33af0bd2fdb1d6aff6d4dfc7500c9aaeac1016b5acf384a909bf734ad83
sub-118	99	885	871	created	475125	ad962db12aa8369961b13edd20bf3dca84fa43d5258385334dd9fda15499572b
sub-119	99	898	891	created	482673	28e9c3cf0324e5ec759e4f2d4f0357e3b20c06d71fcd70ed9c7a863082cb3f81
sub-120	99	789	782	created	420913	756813cd434c5904dc45c825395031da107d7b816a7e805f5fb169eeac8e548d
sub-121	100	893	886	created	479029	4d5de420bc773088d3bf17b6eee9b9ee72d0fcd5596b61c4b217915505650bdb
