outer_fold	pipeline	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
1	SPECTRAL-UNET	0.01	66	51	128	1320	33	1278	95	9	506.83333333333337	0.02517162471395881	0.2578125	0.04586518415566365	2.5215389674449193
1	SPECTRAL-UNET	0.060000000000000005	66	51	128	350	40	302	88	8	506.83333333333337	0.11695906432748537	0.3125	0.1702127659574468	0.5958566261098323
1	SPECTRAL-UNET	0.11	66	51	128	515	48	457	80	10	506.83333333333337	0.09504950495049505	0.375	0.15165876777251186	0.901677079907925
1	SPECTRAL-UNET	0.16000000000000003	66	51	128	472	48	414	80	10	506.83333333333337	0.1038961038961039	0.375	0.16271186440677965	0.8168365669187767
1	SPECTRAL-UNET	0.21000000000000002	66	51	128	440	48	383	80	9	506.83333333333337	0.11136890951276102	0.375	0.17173524150268335	0.7556724761591581
1	SPECTRAL-UNET	0.26	66	51	128	424	47	368	81	9	506.83333333333337	0.11325301204819277	0.3671875	0.1731123388581952	0.7260769483722459
1	SPECTRAL-UNET	0.31000000000000005	66	51	128	405	47	349	81	9	506.83333333333337	0.11868686868686869	0.3671875	0.17938931297709923	0.6885892798421571
1	SPECTRAL-UNET	0.36000000000000004	66	51	128	396	47	340	81	9	506.83333333333337	0.12144702842377261	0.3671875	0.1825242718446602	0.6708319631700098
1	SPECTRAL-UNET	0.41000000000000003	66	51	128	387	47	331	81	9	506.83333333333337	0.12433862433862433	0.3671875	0.1857707509881423	0.6530746464978625
1	SPECTRAL-UNET	0.46	66	51	128	376	46	321	82	9	506.83333333333337	0.12534059945504086	0.359375	0.18585858585858586	0.633344294639921
1	SPECTRAL-UNET	0.51	66	51	128	367	45	314	83	8	506.83333333333337	0.12534818941504178	0.3515625	0.18480492813141683	0.619533048339362
1	SPECTRAL-UNET	0.56	66	51	128	351	45	298	83	8	506.83333333333337	0.13119533527696792	0.3515625	0.1910828025477707	0.5879644853666557
1	SPECTRAL-UNET	0.6100000000000001	66	51	128	343	45	290	83	8	506.83333333333337	0.13432835820895522	0.3515625	0.19438444924406048	0.5721802038803024
1	SPECTRAL-UNET	0.66	66	51	128	330	45	277	83	8	506.83333333333337	0.13975155279503104	0.3515625	0.2	0.5465307464649786
1	SPECTRAL-UNET	0.7100000000000001	66	51	128	323	45	270	83	8	506.83333333333337	0.14285714285714285	0.3515625	0.20316027088036118	0.5327195001644196
1	SPECTRAL-UNET	0.76	66	51	128	311	43	260	85	8	506.83333333333337	0.1419141914191419	0.3359375	0.19953596287703015	0.5129891483064781
1	SPECTRAL-UNET	0.81	66	51	128	297	43	246	85	8	506.83333333333337	0.14878892733564014	0.3359375	0.20623501199040767	0.48536665570536003
1	SPECTRAL-UNET	0.8600000000000001	66	51	128	285	42	235	86	8	506.83333333333337	0.15162454873646208	0.328125	0.2074074074074074	0.46366326866162444
1	SPECTRAL-UNET	0.91	66	51	128	259	40	211	88	8	506.83333333333337	0.1593625498007968	0.3125	0.21108179419525067	0.4163104242025649
1	SPECTRAL-UNET	0.9525741268224334	66	51	128	238	37	193	91	8	506.83333333333337	0.1608695652173913	0.2890625	0.20670391061452514	0.38079579085827026
1	SPECTRAL-UNET	0.9626731126558706	66	51	128	226	36	182	92	8	506.83333333333337	0.1651376146788991	0.28125	0.20809248554913296	0.35909240381453467
1	SPECTRAL-UNET	0.9706877692486436	66	51	128	211	34	170	94	7	506.83333333333337	0.16666666666666666	0.265625	0.20481927710843373	0.3354159815850049
1	SPECTRAL-UNET	0.9770226300899744	66	51	128	198	32	159	96	7	506.83333333333337	0.16753926701570682	0.25	0.2006269592476489	0.3137125945412693
1	SPECTRAL-UNET	0.9820137900379085	66	51	128	183	31	146	97	6	506.83333333333337	0.1751412429378531	0.2421875	0.20327868852459016	0.2880631371259454
1	SPECTRAL-UNET	0.9859363729567544	66	51	128	169	29	135	99	5	506.83333333333337	0.17682926829268292	0.2265625	0.19863013698630136	0.2663597500822098
1	SPECTRAL-UNET	0.9890130573694068	66	51	128	157	29	123	99	5	506.83333333333337	0.19078947368421054	0.2265625	0.20714285714285716	0.24268332785268001
1	SPECTRAL-UNET	0.991422514586288	66	51	128	124	22	98	106	4	506.83333333333337	0.18333333333333332	0.171875	0.1774193548387097	0.19335744820782635
