background_tier	center_pair	eligible_rows
nontarget_window_no_remwake_nearby	N1_to_N1	1611
nontarget_window_no_remwake_nearby	N1_to_N2	1958
nontarget_window_no_remwake_nearby	N1_to_N3	1
nontarget_window_no_remwake_nearby	N1_to_REM	35
nontarget_window_no_remwake_nearby	N1_to_Wake	523
nontarget_window_no_remwake_nearby	N2_to_N1	556
nontarget_window_no_remwake_nearby	N2_to_N2	13851
nontarget_window_no_remwake_nearby	N2_to_N3	904
nontarget_window_no_remwake_nearby	N2_to_REM	537
nontarget_window_no_remwake_nearby	N2_to_Wake	1384
nontarget_window_no_remwake_nearby	N3_to_N1	2
nontarget_window_no_remwake_nearby	N3_to_N2	861
nontarget_window_no_remwake_nearby	N3_to_N3	1599
nontarget_window_no_remwake_nearby	N3_to_Wake	39
nontarget_window_no_remwake_nearby	REM_to_N1	78
nontarget_window_no_remwake_nearby	REM_to_N2	268
nontarget_window_no_remwake_nearby	REM_to_REM	2323
nontarget_window_no_remwake_nearby	Wake_to_N1	1849
nontarget_window_no_remwake_nearby	Wake_to_N2	237
nontarget_window_no_remwake_nearby	Wake_to_Wake	2971
strict_same_stage_window	N1_to_N1	55
strict_same_stage_window	N2_to_N2	54399
strict_same_stage_window	N3_to_N3	2713
strict_same_stage_window	REM_to_REM	13952
strict_same_stage_window	Wake_to_Wake	12569
