subject	participant_id	pid	potential_boundary_centers	rem_wake_transition_boundaries	eligible_background_centers	strict_same_stage_backgrounds	nontarget_no_remwake_backgrounds
sub-1	sub-1	89	914	5	855	527	328
sub-2	sub-2	89	912	9	844	463	381
sub-3	sub-3	1	996	7	944	679	265
sub-4	sub-4	2	1069	2	1045	626	419
sub-5	sub-5	3	1004	6	963	814	149
sub-6	sub-6	4	997	1	982	667	315
sub-7	sub-7	5	934	4	900	502	398
sub-8	sub-8	6	408	0	402	283	119
sub-9	sub-9	90	1054	1	1039	686	353
sub-10	sub-10	91	992	0	986	665	321
sub-11	sub-11	8	984	3	951	764	187
sub-12	sub-12	92	1012	11	927	635	292
sub-13	sub-13	91	996	0	990	682	308
sub-14	sub-14	9	1069	4	1016	768	248
sub-15	sub-15	10	1093	5	1050	728	322
sub-16	sub-16	11	1027	13	945	806	139
sub-17	sub-17	92	986	16	880	649	231
sub-18	sub-18	12	1046	11	957	681	276
sub-19	sub-19	93	1011	2	987	630	357
sub-20	sub-20	13	1047	2	1023	738	285
sub-21	sub-21	93	1042	1	1027	699	328
sub-22	sub-22	14	1033	3	1008	738	270
sub-23	sub-23	15	1118	2	1094	652	442
sub-24	sub-24	16	932	2	908	676	232
sub-25	sub-25	17	1082	4	1048	574	474
sub-26	sub-26	18	971	2	947	732	215
sub-27	sub-27	19	951	4	914	696	218
sub-28	sub-28	20	858	1	843	518	325
sub-29	sub-29	21	1107	3	1078	775	303
sub-30	sub-30	94	833	3	800	599	201
sub-31	sub-31	95	849	0	843	679	164
sub-32	sub-32	83	831	5	796	524	272
sub-33	sub-33	84	875	8	797	566	231
sub-34	sub-34	22	938	0	862	714	148
sub-35	sub-35	83	875	0	852	681	171
sub-36	sub-36	84	894	8	836	634	202
sub-37	sub-37	86	856	4	814	628	186
sub-38	sub-38	87	850	1	835	604	231
sub-39	sub-39	85	906	1	877	599	278
sub-40	sub-40	86	832	2	782	629	153
sub-41	sub-41	83	915	6	863	674	189
sub-42	sub-42	84	893	8	829	600	229
sub-43	sub-43	87	839	1	808	599	209
sub-44	sub-44	23	849	2	832	619	213
sub-45	sub-45	24	820	1	799	700	99
sub-46	sub-46	26	967	6	915	644	271
sub-47	sub-47	87	811	0	785	600	185
sub-48	sub-48	28	1047	1	1024	777	247
sub-49	sub-49	29	901	2	877	668	209
sub-50	sub-50	88	894	2	852	576	276
sub-51	sub-51	30	894	7	842	553	289
sub-52	sub-52	31	922	4	887	761	126
sub-53	sub-53	88	665	6	607	391	216
sub-54	sub-54	88	789	4	741	517	224
sub-55	sub-55	77	1072	4	1030	832	198
sub-56	sub-56	78	957	9	900	697	203
sub-57	sub-57	77	1031	6	987	735	252
sub-58	sub-58	78	1004	9	953	679	274
sub-59	sub-59	79	1056	8	968	798	170
sub-60	sub-60	80	921	0	857	665	192
sub-61	sub-61	79	947	8	897	626	271
sub-62	sub-62	80	982	2	958	775	183
sub-63	sub-63	81	887	1	861	669	192
sub-64	sub-64	82	885	3	847	536	311
sub-65	sub-65	81	896	1	881	686	195
sub-66	sub-66	82	1080	2	1044	836	208
sub-67	sub-67	32	923	8	861	667	194
sub-68	sub-68	33	869	2	827	481	346
sub-69	sub-69	34	1002	1	987	779	208
sub-70	sub-70	35	888	2	850	695	155
sub-71	sub-71	36	1113	4	1079	842	237
sub-72	sub-72	37	965	2	941	769	172
sub-73	sub-73	38	864	1	814	604	210
sub-74	sub-74	39	968	2	944	684	260
sub-75	sub-75	40	862	3	837	658	179
sub-76	sub-76	41	1047	2	1023	760	263
sub-77	sub-77	42	1077	4	1043	839	204
sub-78	sub-78	43	879	3	854	586	268
sub-79	sub-79	44	1033	0	1027	773	254
sub-80	sub-80	45	819	0	813	649	164
sub-81	sub-81	46	904	13	835	621	214
sub-82	sub-82	48	887	2	863	704	159
sub-83	sub-83	50	910	1	876	642	234
sub-84	sub-84	51	1016	1	1001	810	191
sub-85	sub-85	52	1080	5	1029	723	306
sub-86	sub-86	53	943	0	937	640	297
sub-87	sub-87	54	956	2	932	738	194
sub-88	sub-88	55	896	0	890	742	148
sub-89	sub-89	56	973	0	967	737	230
sub-90	sub-90	57	1039	7	980	837	143
sub-91	sub-91	58	1020	8	968	692	276
sub-92	sub-92	59	987	5	955	644	311
sub-93	sub-93	60	877	4	850	573	277
sub-94	sub-94	61	1004	2	980	760	220
sub-95	sub-95	62	982	8	920	613	307
sub-96	sub-96	63	970	5	927	668	259
sub-97	sub-97	64	1084	8	1023	798	225
sub-98	sub-98	65	900	12	818	674	144
sub-99	sub-99	66	1067	0	1045	777	268
sub-100	sub-100	67	995	7	947	716	231
sub-101	sub-101	68	934	8	889	653	236
sub-102	sub-102	69	962	4	928	779	149
sub-103	sub-103	71	857	0	851	608	243
sub-104	sub-104	72	838	2	814	540	274
sub-105	sub-105	73	972	3	917	636	281
sub-106	sub-106	74	877	2	853	463	390
sub-107	sub-107	75	951	1	936	683	253
sub-108	sub-108	76	1000	3	943	652	291
sub-109	sub-109	96	842	6	790	613	177
sub-110	sub-110	96	952	4	910	721	189
sub-111	sub-111	96	960	6	913	660	253
sub-112	sub-112	97	918	4	883	654	229
sub-113	sub-113	97	936	3	915	656	259
sub-114	sub-114	97	932	1	917	674	243
sub-115	sub-115	98	857	1	829	420	409
sub-116	sub-116	98	872	3	831	510	321
sub-117	sub-117	98	792	8	738	512	226
sub-118	sub-118	99	893	3	852	646	206
sub-119	sub-119	99	897	3	864	655	209
sub-120	sub-120	99	788	5	758	520	238
sub-121	sub-121	100	892	1	877	451	426
sub-122	sub-122	101	875	0	869	538	331
sub-123	sub-123	102	878	3	853	619	234
sub-124	sub-124	15	888	6	848	652	196
sub-125	sub-125	104	976	3	934	685	249
sub-126	sub-126	106	870	8	816	525	291
sub-127	sub-127	107	831	1	816	524	292
sub-128	sub-128	108	820	1	797	421	376
