membership_version	quality_version	split_version	artifact	partition	preprocessing_decision	membership_tier	rows	unique_subjects	unique_pid	primary_analysis_rows	expanded_quality_analysis_rows
v0.1	v0.3	v0.1	background_review	train	exclude_critical	excluded_critical	6	2	2	0	0
v0.1	v0.3	v0.1	background_review	train	include	primary_clean	1769	82	64	1769	1769
v0.1	v0.3	v0.1	background_review	train	include_mad_sensitivity	primary_mad_flagged	794	81	64	794	794
v0.1	v0.3	v0.1	background_review	train	review_targeted	quality_sensitivity_only	198	33	27	0	198
v0.1	v0.3	v0.1	background_review	validation	exclude_critical	excluded_critical	11	1	1	0	0
v0.1	v0.3	v0.1	background_review	validation	include	primary_clean	438	20	16	438	438
v0.1	v0.3	v0.1	background_review	validation	include_mad_sensitivity	primary_mad_flagged	182	20	16	182	182
v0.1	v0.3	v0.1	background_review	validation	review_targeted	quality_sensitivity_only	31	9	9	0	31
v0.1	v0.3	v0.1	background_review	test	exclude_critical	excluded_critical	3	1	1	0	0
v0.1	v0.3	v0.1	background_review	test	include	primary_clean	495	26	20	495	495
v0.1	v0.3	v0.1	background_review	test	include_mad_sensitivity	primary_mad_flagged	315	26	20	315	315
v0.1	v0.3	v0.1	background_review	test	review_targeted	quality_sensitivity_only	60	14	11	0	60
v0.1	v0.3	v0.1	primary_rem_to_wake	train	exclude_critical	excluded_critical	8	8	8	0	0
v0.1	v0.3	v0.1	primary_rem_to_wake	train	include	primary_clean	53	28	22	53	53
v0.1	v0.3	v0.1	primary_rem_to_wake	train	include_mad_sensitivity	primary_mad_flagged	127	50	42	127	127
v0.1	v0.3	v0.1	primary_rem_to_wake	train	review_targeted	quality_sensitivity_only	47	30	26	0	47
v0.1	v0.3	v0.1	primary_rem_to_wake	validation	exclude_critical	excluded_critical	6	2	2	0	0
v0.1	v0.3	v0.1	primary_rem_to_wake	validation	include	primary_clean	12	9	8	12	12
v0.1	v0.3	v0.1	primary_rem_to_wake	validation	include_mad_sensitivity	primary_mad_flagged	25	12	9	25	25
v0.1	v0.3	v0.1	primary_rem_to_wake	validation	review_targeted	quality_sensitivity_only	14	5	5	0	14
v0.1	v0.3	v0.1	primary_rem_to_wake	test	exclude_critical	excluded_critical	3	2	2	0	0
v0.1	v0.3	v0.1	primary_rem_to_wake	test	include	primary_clean	11	6	5	11	11
v0.1	v0.3	v0.1	primary_rem_to_wake	test	include_mad_sensitivity	primary_mad_flagged	48	19	14	48	48
v0.1	v0.3	v0.1	primary_rem_to_wake	test	review_targeted	quality_sensitivity_only	11	7	6	0	11
v0.1	v0.3	v0.1	secondary_wake_to_rem	train	include	primary_clean	16	14	11	16	16
v0.1	v0.3	v0.1	secondary_wake_to_rem	train	include_mad_sensitivity	primary_mad_flagged	46	25	22	46	46
v0.1	v0.3	v0.1	secondary_wake_to_rem	train	review_targeted	quality_sensitivity_only	13	10	10	0	13
v0.1	v0.3	v0.1	secondary_wake_to_rem	validation	include	primary_clean	4	3	3	4	4
v0.1	v0.3	v0.1	secondary_wake_to_rem	validation	include_mad_sensitivity	primary_mad_flagged	8	6	6	8	8
v0.1	v0.3	v0.1	secondary_wake_to_rem	validation	review_targeted	quality_sensitivity_only	4	3	3	0	4
v0.1	v0.3	v0.1	secondary_wake_to_rem	test	include	primary_clean	3	2	2	3	3
v0.1	v0.3	v0.1	secondary_wake_to_rem	test	include_mad_sensitivity	primary_mad_flagged	15	11	8	15	15
v0.1	v0.3	v0.1	secondary_wake_to_rem	test	review_targeted	quality_sensitivity_only	2	1	1	0	2
