quality_version	subject	participant_id	pid	transition_include	background_include	transition_include_mad_sensitivity	background_include_mad_sensitivity	transition_review_targeted	background_review_targeted	transition_exclude_critical	background_exclude_critical	incomplete_transition_windows	new_critical_exclusions_v0.3
v0.3	sub-1	sub-1	89	0	19	0	8	0	0	5	11	0	0
v0.3	sub-2	sub-2	89	5	37	4	3	0	0	0	0	0	0
v0.3	sub-3	sub-3	1	0	24	5	17	2	0	0	0	0	0
v0.3	sub-4	sub-4	2	1	24	1	11	0	2	0	0	0	0
v0.3	sub-5	sub-5	3	0	13	6	16	0	3	0	0	0	0
v0.3	sub-6	sub-6	4	1	30	0	5	0	2	0	0	0	0
v0.3	sub-7	sub-7	5	0	19	0	16	4	5	0	0	0	0
v0.3	sub-8	sub-8	6	0	29	0	3	0	0	0	0	0	0
v0.3	sub-9	sub-9	90	0	30	0	8	1	1	0	0	0	0
v0.3	sub-10	sub-10	91	0	30	0	8	0	0	0	0	0	0
v0.3	sub-11	sub-11	8	0	19	0	10	3	7	0	0	0	0
v0.3	sub-12	sub-12	92	2	24	9	7	0	0	0	0	0	0
v0.3	sub-13	sub-13	91	0	32	0	1	0	0	0	5	0	0
v0.3	sub-14	sub-14	9	0	12	3	21	0	3	1	0	1	0
v0.3	sub-15	sub-15	10	0	23	5	7	0	5	0	0	0	0
v0.3	sub-16	sub-16	11	1	17	11	12	1	4	0	0	0	0
v0.3	sub-17	sub-17	92	1	22	13	11	2	0	0	0	0	0
v0.3	sub-18	sub-18	12	7	23	4	11	0	0	0	0	0	0
v0.3	sub-19	sub-19	93	0	23	0	12	2	2	0	0	0	0
v0.3	sub-20	sub-20	13	0	17	2	13	0	7	0	0	0	0
v0.3	sub-21	sub-21	93	0	21	0	9	1	6	0	0	0	0
v0.3	sub-22	sub-22	14	0	24	1	14	2	0	0	0	0	0
v0.3	sub-23	sub-23	15	0	26	1	10	0	0	1	0	0	0
v0.3	sub-24	sub-24	16	1	32	1	3	0	0	0	0	0	0
v0.3	sub-25	sub-25	17	1	34	3	3	0	0	0	0	0	0
v0.3	sub-26	sub-26	18	0	23	2	14	0	0	0	0	0	0
v0.3	sub-27	sub-27	19	0	10	3	17	0	0	1	0	1	1
v0.3	sub-28	sub-28	20	1	23	0	14	0	0	0	0	0	0
v0.3	sub-29	sub-29	21	0	20	0	7	3	13	0	0	0	0
v0.3	sub-30	sub-30	94	0	12	2	19	1	0	0	0	0	0
v0.3	sub-31	sub-31	95	0	21	0	8	0	0	0	0	0	0
v0.3	sub-32	sub-32	83	0	11	5	21	0	1	0	0	0	0
v0.3	sub-33	sub-33	84	4	23	4	3	0	0	0	0	0	0
v0.3	sub-34	sub-34	22	0	13	0	13	0	2	0	0	0	0
v0.3	sub-35	sub-35	83	0	8	0	18	0	0	0	0	0	0
v0.3	sub-36	sub-36	84	7	26	0	1	0	0	1	0	1	0
v0.3	sub-37	sub-37	86	1	19	1	10	2	0	0	0	0	0
