quality_version	structural_quality_version	amplitude_quality_version	transition_id	subject	participant_id	pid	transition_type	is_primary_label	nominal_boundary_sec	window_start_sample	window_stop_sample	eeg_envelope_proxy_status	amplitude_window_decision	amplitude_review_priority	structural_critical_flags	amplitude_critical_flags	amplitude_review_flags	combined_critical_flags	combined_review_flags	preprocessing_decision	previous_quality_version	previous_preprocessing_decision	actual_window_samples	expected_window_samples	full_window_coverage	coverage_critical_flag	new_critical_exclusion_v0.3
v0.3	v0.1	v0.1	1	sub-1	sub-1	89	REM_to_Wake	True	8790.0	2219520	2280960	unusable	exclude	critical_exclusion	pass	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	exclude_critical	v0.2	exclude_critical	61440	61440	True	pass	False
v0.3	v0.1	v0.1	2	sub-1	sub-1	89	REM_to_Wake	True	13020.0	3302400	3363840	unusable	exclude	critical_exclusion	pass	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	exclude_critical	v0.2	exclude_critical	61440	61440	True	pass	False
v0.3	v0.1	v0.1	3	sub-1	sub-1	89	REM_to_Wake	True	17670.0	4492800	4554240	unusable	exclude	critical_exclusion	pass	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	exclude_critical	v0.2	exclude_critical	61440	61440	True	pass	False
v0.3	v0.1	v0.1	4	sub-1	sub-1	89	REM_to_Wake	True	23550.0	5998080	6059520	unusable	exclude	critical_exclusion	pass	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	exclude_critical	v0.2	exclude_critical	61440	61440	True	pass	False
v0.3	v0.1	v0.1	5	sub-1	sub-1	89	REM_to_Wake	True	24750.0	6305280	6366720	unusable	exclude	critical_exclusion	pass	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	amplitude:constant_signal;amplitude:flatline_at_least_5_sec;amplitude:near_flat_robust_range	amplitude:repeated_endpoints	exclude_critical	v0.2	exclude_critical	61440	61440	True	pass	False
v0.3	v0.1	v0.1	377	sub-100	sub-100	67	REM_to_Wake	True	16470.0	4185600	4247040	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	378	sub-100	sub-100	67	REM_to_Wake	True	23790.0	6059520	6120960	lag_review	review	targeted_review	pass	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	379	sub-100	sub-100	67	Wake_to_REM	False	23820.0	6067200	6128640	lag_review	review	targeted_review	pass	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	pass	amplitude:high_robust_range;amplitude:many_10mad_outliers	review_targeted	v0.2	review_targeted	61440	61440	True	pass	False
v0.3	v0.1	v0.1	380	sub-100	sub-100	67	REM_to_Wake	True	23940.0	6097920	6159360	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	381	sub-100	sub-100	67	REM_to_Wake	True	27600.0	7034880	7096320	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
v0.3	v0.1	v0.1	382	sub-100	sub-100	67	Wake_to_REM	False	27630.0	7042560	7104000	near_zero_lag	review	mad_only_review	pass	pass	amplitude:many_10mad_outliers	pass	amplitude:many_10mad_outliers	include_mad_sensitivity	v0.2	include_mad_sensitivity	61440	61440	True	pass	False
