label_version	pid	subjects	subject_count	transition_subject_count	background_subject_count	primary_rem_to_wake_labels	secondary_wake_to_rem_labels	transition_windows_include	transition_windows_review	background_review_windows	strict_background_review_windows	nontarget_background_review_windows	background_windows_include	background_windows_review	has_repeated_recordings	split_readiness_status
v0.1	1	sub-3	1	1	1	5	2	7	0	41	8	33	41	0	False	positive_and_background_available
v0.1	2	sub-4	1	1	1	2	0	2	0	37	8	29	37	0	False	positive_and_background_available
v0.1	3	sub-5	1	1	1	4	2	6	0	32	6	26	32	0	False	positive_and_background_available
v0.1	4	sub-6	1	1	1	1	0	1	0	37	6	31	37	0	False	positive_and_background_available
v0.1	5	sub-7	1	1	1	3	1	4	0	40	8	32	40	0	False	positive_and_background_available
v0.1	6	sub-8	1	0	1	0	0	0	0	32	8	24	32	0	False	background_only
v0.1	8	sub-11	1	1	1	2	1	3	0	36	8	28	36	0	False	positive_and_background_available
v0.1	9	sub-14	1	1	1	4	0	4	0	36	8	28	36	0	False	positive_and_background_available
v0.1	10	sub-15	1	1	1	3	2	5	0	35	6	29	35	0	False	positive_and_background_available
v0.1	11	sub-16	1	1	1	7	6	13	0	33	6	27	33	0	False	positive_and_background_available
v0.1	12	sub-18	1	1	1	9	2	11	0	34	8	26	34	0	False	positive_and_background_available
v0.1	13	sub-20	1	1	1	2	0	2	0	37	9	28	37	0	False	positive_and_background_available
v0.1	14	sub-22	1	1	1	2	1	3	0	38	9	29	38	0	False	positive_and_background_available
v0.1	15	sub-124;sub-23	2	2	2	6	2	8	0	64	13	51	64	0	True	positive_and_background_available
v0.1	16	sub-24	1	1	1	2	0	2	0	35	8	27	35	0	False	positive_and_background_available
v0.1	17	sub-25	1	1	1	3	1	4	0	37	9	28	37	0	False	positive_and_background_available
v0.1	18	sub-26	1	1	1	2	0	2	0	37	8	29	37	0	False	positive_and_background_available
v0.1	19	sub-27	1	1	1	4	0	4	0	27	7	20	27	0	False	positive_and_background_available
v0.1	20	sub-28	1	1	1	1	0	1	0	37	8	29	37	0	False	positive_and_background_available
v0.1	21	sub-29	1	1	1	3	0	3	0	40	8	32	40	0	False	positive_and_background_available
v0.1	22	sub-34	1	0	1	0	0	0	0	28	6	22	28	0	False	background_only
v0.1	23	sub-44	1	1	1	2	0	2	0	35	8	27	35	0	False	positive_and_background_available
v0.1	24	sub-45	1	1	1	1	0	1	0	28	6	22	28	0	False	positive_and_background_available
v0.1	26	sub-46	1	1	1	4	2	6	0	34	6	28	34	0	False	positive_and_background_available
v0.1	28	sub-48	1	1	1	1	0	1	0	36	8	28	36	0	False	positive_and_background_available
v0.1	29	sub-49	1	1	1	2	0	2	0	38	8	30	38	0	False	positive_and_background_available
v0.1	30	sub-51	1	1	1	5	2	7	0	36	8	28	36	0	False	positive_and_background_available
v0.1	31	sub-52	1	1	1	4	0	4	0	29	6	23	29	0	False	positive_and_background_available
v0.1	32	sub-67	1	1	1	6	2	8	0	28	6	22	28	0	False	positive_and_background_available
