split_version	metric	partition	actual	proportional_target	difference	relative_difference
v0.1	recording_count	train	82.0	81.92	0.0799999999999983	0.0009765624999999792
v0.1	recording_count	validation	20.0	20.48	-0.4800000000000004	-0.02343750000000002
v0.1	recording_count	test	26.0	25.6	0.3999999999999986	0.015624999999999944
v0.1	primary_retained	train	229.0	224.0	5.0	0.022321428571428572
v0.1	primary_retained	validation	51.0	56.0	-5.0	-0.08928571428571429
v0.1	primary_retained	test	70.0	70.0	0.0	0.0
v0.1	secondary_retained	train	75.0	71.04	3.9599999999999937	0.05574324324324315
v0.1	secondary_retained	validation	16.0	17.76	-1.7600000000000016	-0.09909909909909918
v0.1	secondary_retained	test	20.0	22.200000000000003	-2.200000000000003	-0.09909909909909921
v0.1	background_retained	train	2761.0	2740.48	20.519999999999982	0.007487739374124234
v0.1	background_retained	validation	651.0	685.12	-34.120000000000005	-0.049801494628678195
v0.1	background_retained	test	870.0	856.4000000000001	13.599999999999909	0.01588042970574487
v0.1	positive_pid	train	56.0	56.32	-0.3200000000000003	-0.005681818181818187
v0.1	positive_pid	validation	14.0	14.08	-0.08000000000000007	-0.005681818181818187
v0.1	positive_pid	test	18.0	17.6	0.3999999999999986	0.022727272727272645
v0.1	background_only_pid	train	8.0	7.68	0.3200000000000003	0.041666666666666706
v0.1	background_only_pid	validation	2.0	1.92	0.08000000000000007	0.041666666666666706
v0.1	background_only_pid	test	2.0	2.4000000000000004	-0.40000000000000036	-0.1666666666666668
v0.1	repeated_pid	train	13.0	12.8	0.1999999999999993	0.015624999999999944
v0.1	repeated_pid	validation	3.0	3.2	-0.20000000000000018	-0.06250000000000006
v0.1	repeated_pid	test	4.0	4.0	0.0	0.0
v0.1	female_pid	train	38.0	38.4	-0.3999999999999986	-0.01041666666666663
v0.1	female_pid	validation	11.0	9.6	1.4000000000000004	0.14583333333333337
v0.1	female_pid	test	11.0	12.0	-1.0	-0.08333333333333333
v0.1	age_under_30_pid	train	29.0	30.080000000000002	-1.0800000000000018	-0.035904255319148995
v0.1	age_under_30_pid	validation	8.0	7.5200000000000005	0.47999999999999954	0.06382978723404249
v0.1	age_under_30_pid	test	10.0	9.4	0.5999999999999996	0.0638297872340425
v0.1	age_30_49_pid	train	19.0	17.28	1.7199999999999989	0.09953703703703697
v0.1	age_30_49_pid	validation	4.0	4.32	-0.3200000000000003	-0.07407407407407414
v0.1	age_30_49_pid	test	4.0	5.4	-1.4000000000000004	-0.2592592592592593
v0.1	age_50_plus_pid	train	15.0	16.0	-1.0	-0.0625
v0.1	age_50_plus_pid	validation	4.0	4.0	0.0	0.0
v0.1	age_50_plus_pid	test	6.0	5.0	1.0	0.2
v0.1	age_missing_pid	train	1.0	0.64	0.36	0.36
v0.1	age_missing_pid	validation	0.0	0.16	-0.16	-0.16
v0.1	age_missing_pid	test	0.0	0.2	-0.2	-0.2
v0.1	primary_targeted_review	train	48.0	46.72	1.2800000000000011	0.02739726027397263
v0.1	primary_targeted_review	validation	14.0	11.68	2.3200000000000003	0.1986301369863014
v0.1	primary_targeted_review	test	11.0	14.600000000000001	-3.6000000000000014	-0.2465753424657535
v0.1	background_targeted_review	train	198.0	184.96	13.039999999999992	0.07050173010380618
v0.1	background_targeted_review	validation	31.0	46.24	-15.240000000000002	-0.32958477508650524
v0.1	background_targeted_review	test	60.0	57.800000000000004	2.1999999999999957	0.038062283737024145
v0.1	critical_exclusion_pid	train	8.0	7.68	0.3200000000000003	0.041666666666666706
v0.1	critical_exclusion_pid	validation	2.0	1.92	0.08000000000000007	0.041666666666666706
v0.1	critical_exclusion_pid	test	2.0	2.4000000000000004	-0.40000000000000036	-0.1666666666666668
v0.1	male_pid	train	26.0	25.6	0.3999999999999986	0.015624999999999944
v0.1	male_pid	validation	5.0	6.4	-1.4000000000000004	-0.21875000000000006
v0.1	male_pid	test	9.0	8.0	1.0	0.125
